city,lat,lng,country
Samundri,31.0625,72.9542,Pakistan
Bat Khela,34.62,71.97,Pakistan
Shakargarh,32.2628,75.1583,Pakistan
Sakrand,26.1381,68.2731,Pakistan
Sambrial,32.16,74.4,Pakistan
Hala,25.81,68.43,Pakistan
Gwadar,25.1264,62.3225,Pakistan
Shujaabad,29.8792,71.3028,Pakistan
Hujra Shah Muqim,30.7333,73.8167,Pakistan
Kabirwala,30.2,70.43,Pakistan
Talamba,30.5255,72.2398,Pakistan
Rohri,27.6831,68.9,Pakistan
Mansehra,34.3339,73.2014,Pakistan
Lala Musa,32.7003,73.9578,Pakistan
Saidu Sharif,34.75,72.3572,Pakistan
Chunian,31.0167,73.85,Pakistan
Talagang,32.9278,72.4111,Pakistan
Kashmor,28.26,69.35,Pakistan
Nankana Sahib,31.45,73.7067,Pakistan
Phalia,32.4328,73.5778,Pakistan
Bannu,32.9864,70.6044,Pakistan
Faruka,31.8853,72.4153,Pakistan
Pasrur,32.2637,74.6628,Pakistan
Timargara,34.8278,71.8417,Pakistan
Dina,33.0283,73.6011,Pakistan
Rangewala,30.8222,74.2611,Pakistan
Chenab Nagar,31.7528,72.9222,Pakistan
Hadali,32.2922,72.1922,Pakistan
Pabbi,34.01,71.7975,Pakistan
Lalian,31.8253,72.8027,Pakistan
Liaquatpur,28.9353,70.9508,Pakistan
Matta,35.0931,72.3097,Pakistan
Abdul Hakim,30.55,72.1328,Pakistan
Kot Mumin,32.1883,73.0286,Pakistan
Hassan Abdal,33.8195,72.689,Pakistan
Chak Thirty-six North Branch,32.1261,72.7297,Pakistan
Rukan,32.4236,73.2722,Pakistan
Buni,36.2728,72.2597,Pakistan
Chak Sixty-one Gugera Branch,31.5875,73.6897,Pakistan
Chitral,35.8461,71.7858,Pakistan
Haripur,33.9942,72.9333,Pakistan
Nushki,29.5556,66.0217,Pakistan
Zhob,31.3417,69.4486,Pakistan
Badrashni,33.9886,72.025,Pakistan
Kanganpur,30.9489,73.7433,Pakistan
Tank,32.13,70.23,Pakistan
Mach,29.8669,67.3264,Pakistan
Kandiaro,27.0581,68.2078,Pakistan
Sukheke Mandi,31.8833,73.4667,Pakistan
Washuk,27.7231,64.8122,Pakistan
Jalalpur Bhattian,32.0644,73.377,Pakistan
Safdarabad,31.7167,73.5667,Pakistan
Safdarabad,31.7256,73.5771,Pakistan
Jalalabad,35.88,74.493,Pakistan
Choa Saidan Shah,32.7167,72.9833,Pakistan
Ranipur,27.2889,68.5044,Pakistan
Hangu,33.5333,71.0667,Pakistan
Charbagh,34.8333,72.4417,Pakistan
Kalu Khan,34.2167,72.3,Pakistan
Sujawal,24.6031,68.0792,Pakistan
Naushahro Firoz,26.85,68.1333,Pakistan
Sillanwali,31.825,72.5389,Pakistan
Allahabad,28.9333,70.9667,Pakistan
Uthal,25.8,66.6167,Pakistan
Risalpur Cantonment,34.0811,71.9725,Pakistan
Bandhi,26.5833,68.3,Pakistan
Surab,28.4925,66.2597,Pakistan
Karak,33.1167,71.1,Pakistan
Nawan Shahr,34.1642,73.2639,Pakistan
Kundian,32.4522,71.4718,Pakistan
Umarkot,25.3631,69.7425,Pakistan
Chakdarra,34.65,72.0333,Pakistan
Pasni,25.2652,63.4698,Pakistan
Sadda,33.7056,70.3292,Pakistan
Landi Kotal,34.1053,71.1553,Pakistan
Bagh,33.9735,73.7918,Pakistan
Ghuenke,32.4244,74.4603,Pakistan
Thal,33.3644,70.5478,Pakistan
Chak Five Hundred Seventy-five,31.55,73.8333,Pakistan
Masho Khel,33.9103,71.5025,Pakistan
Dulmial,32.7333,72.9167,Pakistan
Malak Abad,34.8,71.8,Pakistan
Makhdum Rashid,30.0,5.0,Pakistan
Pind Dadan Khan,32.5883,73.0447,Pakistan
Johi,26.6921,67.6133,Pakistan
Hajira,33.7717,73.8961,Pakistan
Ayun,35.7225,71.7669,Pakistan
Sabaur,32.8031,74.0614,Pakistan
Bhimbar,32.9747,74.0731,Pakistan
Atharan Hazari,31.1671,72.0898,Pakistan
Batgram,34.6833,73.0167,Pakistan
Arandu,35.3103,71.5486,Pakistan
Jaglot,35.685,74.6239,Pakistan
Wahga,31.6047,74.5731,Pakistan
Dainyor,35.9194,74.3889,Pakistan
Kulachi,31.9286,70.4592,Pakistan
Qazi Ahmad,26.4083,68.1564,Pakistan
Kalat,29.03,66.589,Pakistan
Idak,32.9741,70.1988,Pakistan
Phularwan,32.1883,73.0286,Pakistan
Kotli,33.5156,73.9019,Pakistan
Doaba,33.5333,70.7333,Pakistan
Murree,33.9042,73.3903,Pakistan
Akora,34.0006,72.1217,Pakistan
Bela,26.2267,66.3113,Pakistan
Mithi,24.74,69.8,Pakistan
Gahi Mammar,29.7375,71.9575,Pakistan
Tamman,33.6772,72.8558,Pakistan
Roulia,32.7972,74.0639,Pakistan
