mandi,item,category,min_price,max_price,retail_price,unit
شیخوپورہ,پیڈی اری 6,Grain,1900.0,2300.0,2550.0,Mann
شیخوپورہ,پیڈی اری 9,Grain,2550.0,2750.0,2950.0,Mann
شیخوپورہ,پیڈی کائنات,Grain,4250.0,4750.0,5150.0,Mann
شیخوپورہ,سیلا باسمتی,Grain,215.0,245.0,320.0,KG
شیخوپورہ,سیلا باسمتی سپر,Grain,235.0,260.0,340.0,KG
شیخوپورہ,سیلا کائنات,Grain,240.0,266.0,350.0,KG
شیخوپورہ,مونگ پھلی,Grain,300.0,430.0,640.0,KG
شیخوپورہ,لال لوبیا,Grain,475.0,530.0,610.0,KG
شیخوپورہ,چاول باسمتی,Grain,210.0,230.0,310.0,KG
شیخوپورہ,چاول باسمتی سپر,Grain,220.0,240.0,330.0,KG
شیخوپورہ,چاول اری 6,Grain,165.0,174.0,200.0,KG
شیخوپورہ,چاول اری 9,Grain,180.0,187.0,210.0,KG
شیخوپورہ,چاول کائنات,Grain,225.0,243.0,330.0,KG
شیخوپورہ,صنم سوکھی لال مرچ,Grain,18000.0,24500.0,26500.0,Mann
شیخوپورہ,تل,Grain,12800.0,13900.0,15600.0,Mann
شیخوپورہ,سورگم,Grain,2850.0,3100.0,3300.0,Mann
شیخوپورہ,سورج مکھی,Grain,5800.0,6700.0,7300.0,Mann
شیخوپورہ,گندم,Grain,2240.0,2570.0,2700.0,Mann
شیخوپورہ,توڑی,Grain,980.0,1070.0,1250.0,Mann
شیخوپورہ,چینی,Grain,150.0,158.0,165.0,KG
کاموکی,بنولا,Grain,2180.0,2420.0,2750.0,Mann
کاموکی,شکر,Grain,168.0,182.0,210.0,KG
کاموکی,کنولا,Grain,7100.0,7600.0,7900.0,Mann
کاموکی,کپاس,Grain,8400.0,9100.0,9700.0,Mann
کاموکی,سونف,Grain,660.0,720.0,790.0,KG
کاموکی,سونف درجہ اول,Grain,900.0,950.0,1040.0,KG
کاموکی,سونف درجہ دوئم,Grain,780.0,840.0,930.0,KG
کاموکی,السی,Grain,335.0,358.0,400.0,KG
کاموکی,کالا چنا,Grain,265.0,277.0,360.0,KG
کاموکی,چنا دیسی,Grain,115.0,120.0,150.0,KG
کاموکی,بیسن,Grain,280.0,296.0,370.0,KG
کاموکی,چنا دال,Grain,258.0,270.0,370.0,KG
کاموکی,چنا سفید,Grain,268.0,278.0,370.0,KG
کاموکی,گڑ,Grain,190.0,202.0,220.0,KG
کاموکی,کھل بنولا,Grain,2350.0,2650.0,2900.0,Mann
کاموکی,مکئی,Grain,1830.0,2240.0,2450.0,Mann
کاموکی,مکئی سایلیج,Grain,20.0,23.0,28.0,KG
کاموکی,ماش,Grain,374.0,388.0,420.0,KG
کاموکی,ماش دال دیسی,Grain,200.0,210.0,280.0,KG
کاموکی,ماش دال امپورٹڈ,Grain,470.0,500.0,590.0,KG
کاموکی,مسور دال دیسی,Grain,240.0,255.0,350.0,KG
کاموکی,مسور دال امپورٹڈ,Grain,240.0,253.0,310.0,KG
کاموکی,باجرہ,Grain,4380.0,4720.0,4850.0,Mann
کاموکی,مونگ,Grain,280.0,298.0,340.0,KG
کاموکی,مونگ دال,Grain,345.0,358.0,400.0,KG
کاموکی,سرسوں,Grain,5750.0,6250.0,6550.0,Mann
کاموکی,پیڈی باسمتی سپر,Grain,5200.0,5650.0,6000.0,Mann
کاموکی,پیڈی اری 6,Grain,1750.0,2200.0,2400.0,Mann
کاموکی,پیڈی اری 9,Grain,2250.0,2400.0,2650.0,Mann
کاموکی,پیڈی کائنات,Grain,4100.0,4680.0,5000.0,Mann
کاموکی,سیلا باسمتی,Grain,232.0,258.0,330.0,KG
کاموکی,سیلا باسمتی سپر,Grain,240.0,262.0,360.0,KG
کاموکی,سیلا کائنات,Grain,244.0,266.0,360.0,KG
کاموکی,مونگ پھلی,Grain,310.0,430.0,700.0,KG
کاموکی,لال لوبیا,Grain,524.0,560.0,610.0,KG
کاموکی,چاول باسمتی,Grain,230.0,248.0,330.0,KG
کاموکی,چاول باسمتی سپر,Grain,245.0,259.0,340.0,KG
کاموکی,چاول اری 6,Grain,160.0,172.0,190.0,KG
کاموکی,چاول اری 9,Grain,180.0,188.0,210.0,KG
کاموکی,چاول کائنات,Grain,230.0,250.0,330.0,KG
کاموکی,صنم سوکھی لال مرچ,Grain,19000.0,25000.0,27000.0,Mann
کاموکی,تل,Grain,12300.0,14800.0,16000.0,Mann
کاموکی,سورگم,Grain,3600.0,4350.0,4700.0,Mann
کاموکی,سورج مکھی,Grain,5900.0,6500.0,6900.0,Mann
کاموکی,گندم,Grain,2330.0,2420.0,2650.0,Mann
کاموکی,توڑی,Grain,920.0,970.0,1070.0,Mann
کاموکی,چینی,Grain,157.0,162.0,170.0,KG
قصور,بنولا,Grain,2250.0,2400.0,2700.0,Mann
قصور,جؤ,Grain,68.0,76.0,90.0,KG
قصور,برسیم,Grain,26000.0,28000.0,29500.0,Mann
